ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M06912,쌀눈,곡류·면,쌀,4,FALSE,FALSE,FALSE,,,[웰리유] 쌀눈이 살아있는 찹쌀 누룽지 3kg,14800,3kg,3,kg,2.25,https://www.foodspring.co.kr/goods/detail/800109
M06932,칠리페이스트,기타,기타,4,FALSE,FALSE,FALSE,,,칠리페이스트(몬/수리/돔얌용)454g,9440,454g,454,g,3.5,https://www.foodspring.co.kr/goods/detail/964569
M06942,비프소스,기타,기타,4,FALSE,FALSE,FALSE,,,"스파게티비프소스,3Kg,하인즈,실온",23072,3Kg,3,Kg,2.5,https://www.foodspring.co.kr/goods/detail/651642
M06972,필라델피아크림치즈,,,4,FALSE,FALSE,FALSE,,,동서 필라델피아크림치즈 2kg,26800,2kg,2,kg,1.5,https://www.foodspring.co.kr/goods/detail/590264
M07002,돼지등뼈,,,4,FALSE,TRUE,TRUE,,,(배터짐) 업소용 국내산 돼지등뼈 10kg,24000,10kg,10,kg,1.35,https://www.foodspring.co.kr/goods/detail/937458
M07022,마씨,기타,기타,4,FALSE,FALSE,FALSE,,,이든타운 아마씨(골드 1Kg/EA),9720,1Kg,1,Kg,2.5,https://www.foodspring.co.kr/goods/detail/882364
M07072,리크,기타,기타,4,FALSE,FALSE,FALSE,,,선인 라즈베리크럼 500g (냉동),7032,500g,500,g,2.5,https://www.foodspring.co.kr/goods/detail/935543
M07222,명란마요소스,양념·기름,기타양념,4,FALSE,FALSE,FALSE,,,명란마요소스(코다노),12640,2kg,2,kg,3.5,https://www.foodspring.co.kr/goods/detail/593252
M07242,가니미소,기타,기타,4,FALSE,FALSE,FALSE,,,가니미소(과)400g,7832,400g,400,g,3.5,https://www.foodspring.co.kr/goods/detail/846446
M07252,파르미지아노레지아노치즈,,,4,FALSE,FALSE,FALSE,,,파르미지아노레지아노치즈(이탈리멘티/이태리)1kg,31680,1kg,1,kg,3.2,https://www.foodspring.co.kr/goods/detail/966238
M07292,루피니빈,기타,기타,4,FALSE,FALSE,FALSE,,,수입 루피니빈 5kg,14800,5kg,5,kg,2.5,https://www.foodspring.co.kr/goods/detail/936872
M07332,조미유부,,,4,FALSE,FALSE,FALSE,,,조미유부 900g 일식 초밥,5166,900g,900,g,3.5,https://www.foodspring.co.kr/goods/detail/367509
M07352,찜갈비,기타,기타,4,FALSE,FALSE,FALSE,,,돈찜갈비 - 미국 | 냉동 찜갈비용 15kg,4240,15kg,15,kg,2.3,https://www.foodspring.co.kr/goods/detail/949804
M07402,반건조오징어,,,4,FALSE,FALSE,FALSE,,,반건조오징어(냉동 1.4Kg),42616,1.4Kg,1.4,Kg,3.5,https://www.foodspring.co.kr/goods/detail/778307
M07442,오렌지쨈,,,4,FALSE,TRUE,TRUE,,,마인탈 유기농 사과즙으로 만든 오렌지잼 프루트 오렌지쨈 200g,7952,200g,200,g,0.75,https://www.foodspring.co.kr/goods/detail/905201
M07452,한돈,기타,기타,4,FALSE,FALSE,FALSE,,,한돈 사태 600g,6320,600g,600,g,3.5,https://www.foodspring.co.kr/goods/detail/757606
M07462,실리콘몰드,,,4,FALSE,FALSE,FALSE,,,실리콘몰드(퀴진/반구/15구)ea,3120,15구,15,구,2.5,https://www.foodspring.co.kr/goods/detail/968006
M07482,갈릭난,기타,기타,4,FALSE,FALSE,FALSE,,,"티아시아그릴드갈릭난, 25g*8입, 실온",3800,25g,25,g,1.4,https://www.foodspring.co.kr/goods/detail/695827
M07502,에리스리톨위드스테비아,기타,기타,4,FALSE,FALSE,FALSE,,,신선약초 에리스리톨위드스테비아 200g,9520,200g,200,g,1.45,https://www.foodspring.co.kr/goods/detail/755837
M07552,환만식초,,,4,FALSE,FALSE,FALSE,,,환만식초 1.8L,1960,1.8L,1.8,L,3.5,https://www.foodspring.co.kr/goods/detail/935000
M07562,마늘후레이크,,,4,FALSE,FALSE,FALSE,,,마늘후레이크 500g 1개,8320,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/460425
M07632,와사비소스,기타,기타,4,FALSE,FALSE,FALSE,,,와사비소스_2kg,11464,2kg,2,kg,3.5,https://www.foodspring.co.kr/goods/detail/793855
