ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized
M73227,서울식품냉동생지,과일·견과,견과·씨앗,1,False,False,False,,,서울식품냉동생지,완3,서울식품냉동생지
M73237,델몬트피에스타트로피칼후르츠믹스,기타,기타,1,False,False,False,,,델몬트피에스타트로피칼후르츠믹스,완3,델몬트피에스타트로피칼후르츠믹스
M73257,소힘줄오드레기,기타,기타,1,False,False,False,,,소힘줄오드레기,완3,소힘줄오드레기
M73267,떡볶이떡사리,곡류·면,떡,1,False,False,False,,,떡볶이떡사리,완3,떡볶이떡사리
M73277,아구탕,기타,기타,1,False,False,False,,,아구탕,완3,아구탕
M73287,분말형혼다시,기타,기타,1,False,False,False,,,분말형혼다시,완3,분말형혼다시
M73297,졸인,기타,기타,1,False,False,False,,,졸인,완3,졸인
M73307,오디착즙,양념·기름,가루양념,1,False,False,False,,,오디착즙,완3,오디착즙
M73327,룩트시나몬피컨버터,유제품,버터,1,False,False,False,,,룩트시,완3,룩트시나몬피컨버터
M73337,수제돈가스작은크기,기타,기타,1,False,False,False,,,수제돈가스작은크기,완3,수제돈가스작은크기
M73367,야채닭볶음용닭,육류·계란,닭고기,1,False,False,False,,,야채닭볶음용닭,완3,야채닭볶음용닭
