ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M04521,고추냉이와사비,채소류,열매채소,7,False,False,False,,,고추냉이와사비,완4,,오토서양고추냉이220g / 영흥와사비분,3880,220g,220.0,g,1.45,https://www.foodspring.co.kr/goods/detail/452312
M04529,땅콩크림,,,7,False,True,True,,,땅콩크림,완9,,벨리_듬뿍도넛 땅콩초코생크림,47400,110g,110.0,g,1.5,https://www.foodspring.co.kr/goods/detail/932315
M04636,스키야키소스,기타,기타,7,False,False,False,,,스키야키소스,완2,,오타후쿠 스키야키 타레 소스 2개,11200,2개,2.0,개,0.5,https://www.foodspring.co.kr/goods/detail/972449
M04947,부드러운두부,가공식품,두부·묵,6,False,False,False,,,부드러운두부,완3,부드러운두부,연두부(댓골 냉장 300g) X5 식자재 업소용 두부요리 건강식 반찬가게 순두부 부드러운두부 냉장두부,7688,300g,300.0,g,2.7,https://www.foodspring.co.kr/goods/detail/702491
M04995,강력분밀가루,,,6,False,False,False,,,강력분밀가루,완7,강력분밀가루,강력밀가루(곰표 2.5kg) 강력분 밀가루,5984,2.5kg,2.5,kg,1.35,https://www.foodspring.co.kr/goods/detail/460473
M04998,먹물파스타면,채소류,양념채소,6,False,False,False,,,먹물파스타면,완8,,먹물 스파게티(디벨라 500g) 업소용 파스타 스파게티면,8344,500g,500.0,g,0.95,https://www.foodspring.co.kr/goods/detail/458363
M05224,식빵믹스,곡류·면,빵·곡식가공,6,False,False,False,,,식빵믹스,완1,,백설 식빵 믹스 760g,3280,760g,760.0,g,1.5,https://www.foodspring.co.kr/goods/detail/920590
M05296,치킨스탁,기타,기타,6,False,False,False,,,치킨스탁,완2,,"치킨스탁농축액,2Kg,대상,냉장",9240,2Kg,2.0,Kg,3.5,https://www.foodspring.co.kr/goods/detail/695034
M05354,딸기,기타,기타,6,False,True,True,,,딸기,완1,,딸기 샤베트 240ml 딸기아이스크림 딸기샤벳,2640,240ml,240.0,ml,3.25,https://www.foodspring.co.kr/goods/detail/819497
M05385,생닭9호,육류·계란,닭고기,6,False,False,False,,,생닭9호,완7,생닭9호,"생닭 1마리 (9호,국산,국내산)",5096,9호,9.0,호,2.5,https://www.foodspring.co.kr/goods/detail/449697
M05432,해삼,기타,기타,6,False,False,False,,,해삼,완5,해삼,해삼내장 젓갈 1kg 고노와다,35200,1kg,1.0,kg,3.5,https://www.foodspring.co.kr/goods/detail/935125
M05459,소고기등심,,,6,False,False,False,,,소고기등심,완9,,AG 블랙에이징 숙성소고기 등심 200g,5520,200g,200.0,g,1.4,https://www.foodspring.co.kr/goods/detail/609522
M05671,늘보리압맥,기타,기타,6,False,True,True,식량작물,,늘보리압맥,완4,,25년산 햇곡! 국산 늘보리 압맥 5kg 납작보리,16720,5kg,5.0,kg,1.15,https://www.foodspring.co.kr/goods/detail/827211
M05915,건조파슬리가루,곡류·면,밀가루·전분,5,False,False,False,,,건조파슬리가루,완7,건조파슬리가루,파슬리후레이크(신영 70g) 업소용 건조 말린 파슬리 가루 럽드,4880,70g,70.0,g,0.75,https://www.foodspring.co.kr/goods/detail/457857
M06058,여린잎,기타,기타,5,False,False,False,,,여린잎,완8,,베이비채소(어린순) 250g 여린잎 어린순 새싹채소,2800,250g,250.0,g,1.1,https://www.foodspring.co.kr/goods/detail/975978
M06184,청경채,양념·기름,식초·발효,5,False,True,True,,,청경채,완1,,"청경채,500g,상품,국산",592,500g,500.0,g,3.5,https://www.foodspring.co.kr/goods/detail/692982
M06314,두유,양념·기름,기름,5,False,False,False,,,두유,완1,,두유(삼육/A)950ml,2336,950ml,950.0,ml,3.5,https://www.foodspring.co.kr/goods/detail/963756
M06454,미니바나나,기타,기타,5,False,True,True,과일류,,미니바나나,완1,,삼립 미니소프트바나나치즈케익(40g*30ea),11840,40g,40.0,g,1.25,https://www.foodspring.co.kr/goods/detail/749162
M06460,삼계탕한방재료,기타,기타,5,False,False,False,,,삼계탕한방재료,완10,,성경식품 궁중 삼계탕재료 100g 백숙재료 한방재료,1448,100g,100.0,g,1.1,https://www.foodspring.co.kr/goods/detail/833839
M06574,딜허브,기타,기타,5,False,False,False,,,딜허브,완1,,"딜 10g (허브,팩,국내산)",700,10g,10.0,g,1.5,https://www.foodspring.co.kr/goods/detail/434313
M06675,김치김치,어패류,해조류,4,False,False,False,,,김치김치,완7,김치김치,다오 냉면 무김치 2.5kg 냉면김치,5166,2.5kg,2.5,kg,1.5,https://www.foodspring.co.kr/goods/detail/369304
M06744,중화마늘소스,,,4,False,False,False,,,중화마늘소스,완1,,이금기 중화 고추마늘소스 226g,3680,226g,226.0,g,1.5,https://www.foodspring.co.kr/goods/detail/644897
M06788,장조림고기,기타,기타,4,False,False,False,,,장조림고기,완8,,"삶은 찢은 양지 (육개장,장조림,국밥고기, 칼국수고명)2kg",74320,2kg,2.0,kg,0.85,https://www.foodspring.co.kr/goods/detail/778092
M06883,체리통조림,기타,기타,4,False,True,True,,,체리통조림,완6,,적체리 1.988kg (대/꼭지제거) 체리통조림 절임체리 마라시노 레드체리,10766,1.988kg,1.988,kg,0.45,https://www.foodspring.co.kr/goods/detail/886158
M06922,새우젓국,,,4,False,True,True,,,새우젓국,완5,새우젓국,베트남 새우젓 15kg S사이즈 순대국집 김장용 보쌈용,29200,15kg,15.0,kg,1.0,https://www.foodspring.co.kr/goods/detail/487016
M06927,황금버섯,,,4,False,False,False,,,황금버섯,완3,황금버섯,황금송이버섯(200g/EA)/국내산,1860,200g,200.0,g,1.5,https://www.foodspring.co.kr/goods/detail/501128
M07056,자연한,,,4,False,False,False,,,자연한,완2,,자연에서 식탁까지 촉촉한 가문어 슬라이스 1kg,19120,1kg,1.0,kg,1.2,https://www.foodspring.co.kr/goods/detail/79602
M07094,전복,기타,기타,4,False,True,True,,,전복,완1,,전복(3마리입 300g/EA)/국내산,12090,300g,300.0,g,3.5,https://www.foodspring.co.kr/goods/detail/402731
M07196,초콜릿코팅용,기타,기타,4,False,False,False,,,초콜릿코팅용,완2,,한솔 초콜릿 1kg 땅콩초코볼 견과 초코렛 코팅 업소용,5904,1kg,1.0,kg,1.0,https://www.foodspring.co.kr/goods/detail/723536
